Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
L'ENTRACTE;;Restaurant gastronomique - cuisine raffinée;;9 rue Louis de Romain;;49100;;;ANGERS;49007;47.47048;-0.5522;;;02 41 87 71 82;;entracte.angers@hotmail.fr;http://www.lentracte-angers.fr;;;;;;;;;;;WiFi;40;;;;;;"Anglais;Français";"Anglais;Français";;;;"01/01/2019||02/08/2019||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||||||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||||||19:00||21:30||12:00||14:00|||| ; 02/09/2019||31/12/2019||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||||||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||||||19:00||21:30||12:00||14:00||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant";47.47048,-0.5522;Maine-et-Loire
L'ENTRE 2;Restaurant;Brasserie;;38 rue de la Brière;;44410;;;LA CHAPELLE-DES-MARAIS;44030;47.44513;-2.24534;Transport en commun||Ligne T3 - Arrêt Ecluses||0,038;;02 40 24 42 35;;lentre2.lachapelle@gmail.com;https://www.facebook.com/Lentre-2-979243965798376/;;;;;;;;oui;de petite taille;;WiFi;;;16;;;;oui;oui;;25;oui;01/01/2020||31/12/2020||Ouvert du lundi au vendredi, ainsi que le samedi soir||Fermé le samedi midi et le dimanche||08:00||16:00||||||08:00||16:00||||||08:00||16:00||||||08:00||16:00||||||08:00||||||19:00||11:00||14:00||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.44513,-2.24534;Loire-Atlantique
L'ENVOL;Restaurant;Brasserie;111 boulevard Buffon;;;53810;;;CHANGE;53054;48.0905574;-0.7490653;;;02.43.53.80.37;;envol@sfr.fr;;;Facebook||https://www.facebook.com/pages/LEnvol-Laval/131688776911723;;;;;;;;;Service en terrasse;300;1;40;;;;;;;;oui;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.0905574,-0.7490653;Mayenne
L'ESCALE;Restaurant;Cuisine traditionnelle;40 rue Nationale;;;53950;;;LOUVERNE;53140;48.1234308;-0.7189693;;;02.43.01.10.03;;escale-resto-louverne@orange.fr;http://www.restaurant-lescale-louverne.fr;;Facebook||https://www.facebook.com/pages/Restaurant-Traiteur-LEscale/413013288763306;;;;;;;;;"Plats à emporter / Covid-19;Livraison à domicile / Covid-19";100;2;20;0;;;;;;;oui;;;;;;;48.1234308,-0.7189693;Mayenne
L'ESCALE;Restaurant;Restauration rapide;;23 rue de Paris;;72160;;;CONNERRE;72090;48.0606707;0.4956222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0606707,0.4956222;Sarthe
L'ESCALE POINT CHAUD;Restaurant;Pizzeria;;6 place du Marché au Bois;Face Porte Saint-Michel;44350;;;GUERANDE;44069;47.3277;-2.4263;;;02 40 00 19 19;;boucherjeanclaude@bbox.fr;http://www.lescale-point-chaud.fr;;;;;;;;;;;;;;10;;;;Anglais;Anglais;;;oui;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.3277,-2.4263;Loire-Atlantique
L'ESCAPADE;Restaurant;Cuisine traditionnelle;;2 bis avenue des Sables;;85440;;;TALMONT-SAINT-HILAIRE;85288;46.4654946;-1.6195926;;;02 51 96 02 40;;restaurant.lescapade@outlook.com;;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g562731-d1336569-Reviews-Restaurant_Pizzeria_L_Escapade-Talmont_Saint_Hilaire_Vendee_Pays_de_la_Loire.html;;;;;;oui;;;"Plats à emporter;Service en terrasse;Plats à emporter / Covid-19";55;1;55;;;;Français;Français;;;oui;02/06/2020||31/12/2020||Du lundi au vendredi les midis. En été, tous les jours midi et soir sauf le lundi soir||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 51 96 02 40||;;;;"Cartes bancaires;Chèques Vacances;Tickets Restaurant";46.4654946,-1.6195926;Vendée
L'ESTAMINET;Restaurant;Cuisine traditionnelle;;5 rue de Nantes;;44160;;;PONTCHATEAU;44129;47.43671;-2.08925;;;02 40 45 05 36;02 40 45 05 36;lestaminet.pontchateau@outlook.fr;https://fr-fr.facebook.com/lestaminet.depontchateau.5;;;;;;;;oui;;;Séminaire;;;30;;;;Anglais;Anglais;;25;;"01/01/2020||31/03/2020|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/04/2020||31/08/2020|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/09/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.43671,-2.08925;Loire-Atlantique
L'GIGANBOUL;Restaurant;Cuisine traditionnelle;7 rue des Béliers;;;53000;;;LAVAL;53130;48.0693837;-0.7743002;;;02.43.56.94.54;;lgiganboul@orange.fr;http://www.petitfute.com/adresse/etablissement/id/674469/l-giganboul-restaurants-cuisine-francaise-debut-milieu-et-fin-de-mois-laval;;;;;;;;;;;"Plats à emporter / Covid-19;Livraison à domicile / Covid-19";40;1;;0;;;;;;;oui;;;;;;;48.0693837,-0.7743002;Mayenne
L'HOIRIE;;Restaurant gastronomique - cuisine raffinée;;Allée Henri Faris;;49070;;;BEAUCOUZE;49020;47.46914;-0.61896;;06 32 42 26 78;02 41 72 06 09;;lhoirie@wanadoo.fr;http://www.restaurant-lhoirie.com;;Facebook||https://fr-fr.facebook.com/Lhoirie-127414027341192/;;;"Champerard;Michelin";;;;;;"Climatisation;Service en terrasse";80;3;;;;;Français;Français;;;;"01/01/2019||31/12/2019||||||||||||||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30|||| ; 02/06/2020||29/10/2020||||||||||||||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant";47.46914,-0.61896;Maine-et-Loire
L'INSOLENCE;Restaurant;Cuisine traditionnelle;;48 Avenue du Général de Gaulle;;44600;;;SAINT-NAZAIRE;44184;47.27419;-2.21219;;06 42 95 90 49;;;;;;Facebook||https://www.facebook.com/Linsolence-Restaurant-2350858745234255/;;;;;;;;;Plats à emporter / Covid-19;;;;;;;;;;;;01/01/2020||31/12/2020||Ouvert le lundi midi, puis du mardi au samedi||Fermé le dimanche et lundi soir||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.27419,-2.21219;Loire-Atlantique
L'OCÉANE;Restaurant;Brasserie;;5 rue du Maréchal Leclerc;;44420;;;LA TURBALLE;44211;47.34816;-2.51136;;;02 40 60 34 74;;societes44.ferreira@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;30/03/2020||11/05/2020||||||11:00||||||14:00||11:00||||||14:00||11:00||||||14:00||11:00||||||14:00||11:00||||||14:00||11:00||||||14:00||11:00||||||14:00;;;;;;47.34816,-2.51136;Loire-Atlantique
L'ODELYSS;Restaurant;Brasserie;2 bis rue du Bois Fleuri;;;44650;;;LEGE;44081;46.8934693;-1.6013739;;;02 28 00 10 72;;lodelyss@orange.fr;https://www.lodelyss.fr;;;;;;;;non;;;"Banquet;Plats à emporter;Service en terrasse;Traiteur";50;1;25;;1;;oui;oui;10;48;oui;;||02 28 00 10 72||lodelyss@orange.fr;;;;"Cartes bancaires;Chèques Vacances;Espèces";46.8934693,-1.6013739;Loire-Atlantique
LA BANDE À BASILE;Restaurant;Cuisine traditionnelle;;Place Saint-Pierre;;44390;;;SAFFRE;44149;47.5015058;-1.5798638;;;02 28 30 67 72;;;https://restaurantsaffre.wixsite.com/labandeabasile;;Facebook||https://www.facebook.com/La-Bande-a-Basile-2153280028295441/;;;;;;;;;Plats à emporter;34;1;0;;;;oui;oui;;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.5015058,-1.5798638;Loire-Atlantique
LA BOUCHERIE - ANGERS;;Brasserie;;48 A boulevard Foch;;49100;;;ANGERS;49007;47.46745;-0.55212;;;02 41 25 39 25;;angers@la-boucherie.fr;;;;;;;;;;;;"Climatisation;Service en terrasse;WiFi;Plats à emporter / Covid-19";120;2;20;;;;oui;oui;;;;02/06/2020||29/10/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||12:00||15:00||19:00||22:30;;;;;"Cartes bancaires;Chèques Vacances;Espèces;Tickets Restaurant";47.46745,-0.55212;Maine-et-Loire
LA BOUCHERIE - SAINT-BARTHÉLÉMY-D'ANJOU;;Brasserie;;ZI de la Romanerie Nord;Rue du Paon;49124;;;SAINT-BARTHELEMY-D'ANJOU;49267;47.48409;-0.50157;;;02 41 05 10 10;;stbarthelemy@la-boucherie.fr;http://www.la-boucherie.fr;;;;;;;;;;;Plats à emporter / Covid-19;150;;;;;;"Anglais;Espagnol;Français";"Anglais;Espagnol;Français";;;;01/01/2020||29/10/2020||||||12:00||15:00||18:30||21:00||12:00||15:00||18:30||21:00||12:00||15:00||18:30||21:00||12:00||15:00||18:30||21:00||12:00||15:00||18:30||21:00||12:00||15:00||18:30||21:00||12:00||15:00||18:30||21:00;;;;;;47.48409,-0.50157;Maine-et-Loire
LA BRASSERIE DU TSN - LA CHILLING ZONE;Restaurant;Brasserie;;Les Chalets - Le Lac;Rue du Parc des Sports;44320;;;SAINT-VIAUD;44192;47.2616;-2.0148;;;02 40 39 15 92;;contact@tsn44.com;http://www.tsn44.com/saint-viaud/resto-bar/;;;;;;;;;;;;;;;;;;;;;;;01/03/2017||30/11/2017||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.2616,-2.0148;Loire-Atlantique
LA CABANE;Restaurant;Guinguette;;1, rue du port;;53200;;;DAON;53089;47.7497253;-0.6423835;;;02 43 06 38 14;;;;"https://www.facebook.com/watch/?v=353356295292272 ; https://www.facebook.com/watch/?v=2037066876392031";Facebook||https://www.facebook.com/LaCabaneDaon;;"Ambiance toujours chaleureuse et conviviale à la Cabane.<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span> ; Ambiance toujours chaleureuse et conviviale à la Cabane.<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;;;;;;"Plats à emporter;Service en terrasse";45;1;30;;;;Français;Français;;;non;"05/06/2020||30/06/2020||||Fermé le lundi||||||||||11:00||01:00||||||11:00||01:00||||||11:00||01:00||||||11:00||01:00||||||11:00||01:00||||||11:00||01:00|||| ; 01/07/2020||31/08/2020||||||11:00||01:00||||||11:00||01:00||||||11:00||01:00||||||11:00||01:00||||||11:00||01:00||||||11:00||01:00||||||11:00||01:00|||| ; 01/09/2020||30/09/2020||||Fermé le lundi||||||||||11:00||01:00||||||11:00||01:00||||||11:00||01:00||||||11:00||01:00||||||11:00||01:00||||||11:00||01:00||||";||02 43 06 38 14||;;;Plats à la carte||5,50||12,50||;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.7497253,-0.6423835;Mayenne
LA CABANE D'ARTHUR;Restaurant;Cuisine traditionnelle;;Plage de Tanchet;;85100;;;LES SABLES-D'OLONNE;85194;46.480025;-1.760934;;06 70 44 65 35;;;lacabanedarthur@gmail.com;https://www.lacabanedarthur.fr;;"Facebook||http://www.facebook.com/lacabanedarthur ; Instagram||https://www.instagram.com/lacabanedarthur/ ; Tripadvisor||";"<div id=""TA_cdsratingsonlywide221"" class=""TA_cdsratingsonlywide"">;<ul id=""X60w3sC"" class=""TA_links srtjtpVRiZx"">;<li id=""tLUdebbaR7"" class=""PELRUdxTZ"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/tripadvisor_logo_transp_340x80-18034-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=cdsratingsonlywide&amp;uniq=221&amp;locationId=8313489&amp;lang=fr&amp;border=false&amp;display_version=2""></script>;";;;;;non;;;"Plats à emporter;Service en terrasse";32;;;;;;Anglais;Anglais;;;non;07/04/2021||19/09/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Menu enfant||10,00||||-11 ans ; Plats à la carte||11,00||||";"Cartes bancaires;Chèques Vacances;Tickets Restaurant";46.480025,-1.760934;Vendée
LA CABANE DU CHAT-QUI-PÊCHE;;Guinguette;;rue du Port;;49460;;;CANTENAY-EPINARD;49055;47.52849;-0.56859;;;07 68 96 12 14;;contact@lacabaneduchatquipeche.com;http://www.lacabaneduchatquipeche.com;;Facebook||https://fr-fr.facebook.com/lacabaneduchatquipeche/;;;;;;oui;;;Service en terrasse;40;1;100;;;;"Anglais;Français";"Anglais;Français";;15;;05/06/2020||27/09/2019||||||11:30||23:00||||||11:30||23:00||||||11:30||23:00||||||11:30||23:00||||||11:30||23:00||||||11:30||23:00||||||11:30||23:00||||;;;;"Menu enfant||12,00|||| ; Menu adulte du jour (midi en semaine)||16,00||20,00||";"Cartes bancaires;Chèques bancaires et postaux;Espèces;Tickets Restaurant";47.52849,-0.56859;Maine-et-Loire
LA CABANE À CHOUCHOU;Restaurant;Restauration rapide;;Route d'Arçais;;85420;;;DAMVIX;85078;46.3136552;-0.733526;Marais Poitevin||||0;06 25 17 67 72;;;chouchou.lapraline@orange.fr;;;Facebook||https://www.facebook.com/La-cabane-a-chouchou-1420577868005477/?fref=ts;;;;;;;;;Service en terrasse;;;;;;;Français;Français;;;non;01/04/2020||31/10/2020||||Fermé le lundi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Espèces;46.3136552,-0.733526;Vendée
LA CAILLEBOTTE;Restaurant;Restauration rapide;;;Aire des Diamants;85500;;;CHANVERRIE;85302;46.9228869;-0.9727979;Puy du Fou||||5;;02.51.57.06.74;;jmdd85murzeau@gmail.com;;;;;;;;;oui;;;"Plats à emporter;Service en terrasse;WiFi";;;;;;;oui;oui;;90;;;||02 51 57 06 74||;;;;"Cartes bancaires;Chèques bancaires et postaux";46.9228869,-0.9727979;Vendée
LA CALE 67;Restaurant;Cuisine traditionnelle;;64, rue nationale;;85670;;;FALLERON;85086;46.8816076;-1.7042162;;;02 51 35 24 36;;;;;;;;;;;;;;;;1;;;;;;;;;oui;||||Du lundi au samedi le midi.||fermé le dimanche ||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Menu adulte du jour (midi en semaine)||13,00||||;"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";46.8816076,-1.7042162;Vendée
LA CANTINE D'ALBERT;;Cuisine traditionnelle;;50 boulevard Albert Einstein;;44000;;;NANTES;44109;47.2623901;-1.5665764;;;09 83 26 15 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;||http://www.nantes-tourisme.com/book/556286||||||;;;47.2623901,-1.5665764;Loire-Atlantique
LA CANTINE DE L'ILOT;Restaurant;Cuisine traditionnelle;;1 bis boulevard des Nations Unies;;44770;;;LA PLAINE-SUR-MER;44126;47.13899;-2.19086;;;02 40 64 27 13;;lacantinedelilot@orange.fr;https://cath-mariot.wixsite.com/la-cantine-de-l-ilot;;;;;;;;oui;;;"Banquet;WiFi";70;2;30;;;;oui;oui;20;;;"01/01/2021||31/12/2021||||||12:00||||||14:00||12:00||||||14:00||12:00||||||14:00||12:00||||||14:00||12:00||||||14:00||12:00||||||14:00|||||||| ; 01/01/2021||31/12/2021||||||19:00||||||21:00||19:00||||||21:00||19:00||||||21:00||19:00||||||21:00||19:00||||||21:00||19:00||||||21:00||||||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.13899,-2.19086;Loire-Atlantique
LA CANTINE Ô MOINES;Restaurant;;;12 quai de la Chaussée des Moines;;44120;;;VERTOU;44215;47.1681536;-1.4800455;;;02 40 34 21 33;;lacantineomoines@gmail.com;www.lacantineomoines.com;;;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.1681536,-1.4800455;Loire-Atlantique
LA CASE D'ELO;Restaurant;Restauration rapide;;Plage du corps de garde;;85360;;;LA TRANCHE-SUR-MER;85294;46.345144;-1.4702133;"Autoroute||A87||40 ; Gare SNCF||La Roche-sur-Yon||";06 61 01 26 47;;;coquelicotelo@hotmail.fr;;;"Facebook||https://www.facebook.com/Lacasedelo ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g580152-d8492564-Reviews-La_Case_D_elo-La_Tranche_sur_Mer_Vendee_Pays_de_la_Loire.html";;;;;;;;;;;;;;;;;;;;non;;;;;;;46.345144,-1.4702133;Vendée
LA CIGALE;Restaurant;Restaurant gastronomique - cuisine raffinée;;4 Place Graslin;;44000;;;NANTES;44109;47.2129501;-1.5622253;;;02 51 84 94 94;;;http://www.lacigale.com;;;;;"Bottin Gourmand;Champerard;Gault Millau;Les Tables de Nantes;Michelin";;;;;;;;;;;;;;;;;;;;oui;||http://www.nantes-tourisme.com/book/105271||||||;;;47.2129501,-1.5622253;Loire-Atlantique
LA CIPOLLINA;Restaurant;Cuisine traditionnelle;;28 bis rue du Centre;;85440;;;TALMONT-SAINT-HILAIRE;85288;46.4662723;-1.6162827;;;02 51 33 61 35;;jerome.ruby@free.fr;;;"Facebook||https://www.facebook.com/restaurantlacipollina/ ; Tripadvisor||";;;;;;non;;;"Climatisation;Plats à emporter;Service en terrasse;Plats à emporter / Covid-19";44;1;30;0;1;;oui;oui;;;oui;;||02 51 33 61 35||;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";46.4662723,-1.6162827;Vendée
LA CIVELLE;Restaurant;Brasserie;;21 Quai Marcel Boissard;;44400;;;REZE;44143;47.1948747;-1.5829826;;;02 40 75 46 60;;;http://www.lacivelle.com;;;;;"Bottin Gourmand;Gault Millau;Le petit futé;Les Tables de Nantes";;;;;Maitres Restaurateurs;"Service en terrasse;WiFi";150;4;40;3;4;;"Anglais;Espagnol;Français";"Anglais;Espagnol;Français";;140;;;;oui;||http://www.nantes-tourisme.com/book/115311||||||;;"Cartes bancaires;Chèques Vacances;Tickets Restaurant";47.1948747,-1.5829826;Loire-Atlantique
LA DODO LÉ LA !;Restaurant;Cuisine du Monde;;123 bis boulevard Emile Zola - Méan Penhoët;;44600;;;SAINT-NAZAIRE;44184;47.3035059;-2.1845641;Transport en commun||Port du Brivet||0,13;06 68 06 32 63;;;;;;;;;;;;oui;;;"Plats à emporter;WiFi";60;;;;;;oui;oui;;40;oui;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Jean-Paul DONZ||06 68 06 32 63||;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.3035059,-2.1845641;Loire-Atlantique
LA FERME;Ferme auberge;Cuisine traditionnelle;;Route de vannes;lieu-dit Plaisance;44360;;;SAINT-ETIENNE-DE-MONTLUC;44158;47.2966996;-1.7498756;Route (nationale/départ.)||||;;0240869145;;;www.restaurant-laferme.fr;;;;;;;;;;;;;;;;;;;;;;;;||02 40 86 91 45||;;;;;47.2966996,-1.7498756;Loire-Atlantique
LA FERME DES TABACS;Restaurant;Cuisine traditionnelle;;Chemin du Plessis;;44250;;;SAINT-BREVIN-LES-PINS;44154;47.25454;-2.15759;;;02 40 27 07 84;;lafermedestabacs@orange.fr;http://www.ferme-des-tabacs.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.25454,-2.15759;Loire-Atlantique
LA FERME DU GRAND CLOS;Restaurant;Crêperie;;52 avenue de Lattre de Tassigny;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28111;-2.41543;;;02 40 60 03 30;02 90 80 13 75;lafermedugrandclos@gmail.com;;;;;;"Champerard;Le petit futé";;;oui;;;;;;50;;;;Anglais;Anglais;;46;;"01/07/2020||31/08/2020||||||||||||||12:00||||||14:00||12:00||||||14:00||12:00||||||14:00||12:00||||||14:00||12:00||||||14:00||12:00||||||14:00 ; 01/07/2020||31/08/2020||||||||||||||19:00||||||22:30||19:00||||||22:30||19:00||||||22:30||19:00||||||22:30||19:00||||||22:30||19:00||||||22:30";;;;;"Cartes bancaires;Chèques Vacances";47.28111,-2.41543;Loire-Atlantique
LA FONTAINE AUX BRETONS;Restaurant;Salon de thé;;Rue des Noëls;La Fontaine aux Bretons;44210;;;PORNIC;44131;47.10259;-2.07074;;;02 51 74 08 08;02 51 74 15 15;restaurant@lafontaineauxbretons.fr;http://www.lafontaineauxbretons.fr;;;;;;;;;;Maitres Restaurateurs;"Banquet;Séminaire;WiFi";80;2;80;5;;;oui;oui;10;150;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.10259,-2.07074;Loire-Atlantique
LA GONDOLA;Restaurant;Pizzeria;;28 avenue Henri Bertho;;44500;;;LA BAULE-ESCOUBLAC;44055;47.29466;-2.36007;;;02 40 11 00 11;;;http://lagondola.e-monsite.com;;;;;;;;;;;;;;;;;;;;;;;31/03/2020||11/05/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.29466,-2.36007;Loire-Atlantique
LA LOGE BRIÉRONNE;Restaurant;Cuisine traditionnelle;;Port de la Chaussée Neuve;;44117;;;SAINT-ANDRE-DES-EAUX;44151;47.332;-2.29063;;;02 51 10 60 89;;bouhier.philippe@orange.fr;http://www.lalogebrieronne.com;;;;;;;;oui;;;;;;;;;;oui;oui;;40;;01/01/2020||31/12/2020||Ouvert du mercredi au dimanche midi||Fermé le dimanche soir, lundi et mardi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux";47.332,-2.29063;Loire-Atlantique
LA MAISON DU COEUR DE L'ÎLE;Restaurant;;;Ferme de l'île Saint Aubin;Chemin bas d'Epinard;49100;;;ANGERS;49007;47.5113;-0.5492;;;06 98 20 62 14;;lecoeurdelile@gmail.com;;;;;;;;;oui;;;"Service en terrasse;WiFi";30;1;80;;;;"Anglais;Espagnol;Français";"Anglais;Espagnol;Français";;100;;"01/06/2019||01/09/2019||||||||||||||||||||||11:00||18:00||||||11:00||18:00||||||11:00||18:00||||||11:00||18:00||||||11:00||18:00|||| ; 04/09/2019||29/09/2019||||||||||||||||||||||10:00||18:00||||||||||||||||||||||10:00||18:00||||||10:00||18:00||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.5113,-0.5492;Maine-et-Loire
LA MAISON PAVIE;Restaurant;Cuisine traditionnelle;;20 bis avenue Pavie;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28337;-2.40564;;;02 40 88 07 13;;;http://www.maisonpavie.com;;;;;;;;oui;;;Séminaire;;;55;2;;;oui;oui;;;;"01/07/2020||31/08/2020|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/07/2020||31/08/2020|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/07/2020||31/08/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques bancaires et postaux";47.28337,-2.40564;Loire-Atlantique
LA MANGEOIRE;Restaurant;Cuisine traditionnelle;;17, route de Saumur;;49730;;;PARNAY;49235;47.23045;0.01288;;06 38 89 14 20;02 41 40 12 23;;;https://www.facebook.com/LaMangeoire/;;"Tripadvisor|| ; Facebook||https://www.facebook.com/LaMangeoire";;;;;;oui;;;"Plats à emporter / Covid-19;Livraison à domicile / Covid-19";42;1;20;;;;"Allemand;Anglais;Français";"Allemand;Anglais;Français";;50;;01/01/2020||31/12/2020||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.23045,0.01288;Maine-et-Loire
LA MARIE GALANTE;Restaurant;Brasserie;;24 quai Saint-Paul;;44420;;;LA TURBALLE;44211;47.34801;-2.51232;;;02 40 11 81 82;;lamarie-galante@orange.fr;;;;;;;;;oui;;;;;;20;;;;oui;oui;;30;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.34801,-2.51232;Loire-Atlantique
LA MARÉE MONTE;Restaurant;Brasserie;;66 rue de Stalingrad;;44600;;;SAINT-NAZAIRE;44184;47.2778543;-2.2121167;"Gare SNCF||||1 ; Transport en commun||Ligne U4. Arrêt: Paquebot||0,15";;02 40 22 23 14;;;;;Facebook||https://fr-fr.facebook.com/pages/La-Mar%C3%A9e-Monte/172415599512411;;;Le petit futé;;;oui;;;WiFi;90;;40;;;;non;non;;;non;01/01/2020||31/12/2020||Ouvert du mardi au samedi||Fermé le dimanche et lundi||||||||||08:00||||||20:30||08:00||||||20:30||08:00||||||20:30||08:00||||||20:30||08:00||||||20:30||||||||;||02 40 22 23 14||;;;;"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";47.2778543,-2.2121167;Loire-Atlantique
LA MIE CALINE;Restaurant;Restauration rapide;;22 quai du 11 Novembre 1918;;44210;;;PORNIC;44131;47.11546;-2.09973;;;02 40 82 06 78;02 40 82 11 42;stgouard@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Cartes bancaires;Tickets Restaurant";47.11546,-2.09973;Loire-Atlantique
LA MIE CALINE;Restaurant;Restauration rapide;;53 avenue Albert de Mun;;44600;;;SAINT-NAZAIRE;44184;47.2784872;-2.2117346;"Gare SNCF||||1,5 ; Transport en commun||Ligne Hélyce - Arrêt: République||0,28 ; Transport en commun||Ligne U4 - Arrêt: Paquebot||0,057";;02 40 22 69 80;02 40 22 08 81;st-nazaire@lamiecaline.net;www.lamiecaline.com;;;;;;;;non;;;"Plats à emporter;Service en terrasse;WiFi;Plats à emporter / Covid-19";26;;20;;;;oui;oui;;15;oui;01/01/2020||31/12/2020||Ouvert du lundi au samedi||Fermé le dimanche||06:30||||||20:00||06:30||||||20:00||06:30||||||20:00||06:30||||||20:00||06:30||||||20:00||06:30||||||20:00||||||||;||02 40 22 69 80||st-nazaire@lamiecaline.net;;;Menu adulte du jour (midi en semaine)||4,40||||;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Tickets Restaurant";47.2784872,-2.2117346;Loire-Atlantique
